branch,stage,id,mode,mae,ssim,lpips
P01,6,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:62722e56d65c4519472ba85f6cfbab205edb03e6362e434a6bc5f35b4d11ffe1,6,0.052986495196819305,0.7396819591522217,0.14989019930362701
P01,7,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,fixed,0.06003551930189133,0.6880168914794922,0.16779829561710358
P01,7,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,1,0.05739738047122955,0.7098167538642883,0.15942201018333435
P01,7,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,3,0.05739738047122955,0.7098167538642883,0.15942201018333435
P01,7,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,6,0.05739738047122955,0.7098167538642883,0.15942201018333435
P01,8,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,fixed,0.06567317992448807,0.6651027202606201,0.17702649533748627
P01,8,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,1,0.06358537822961807,0.6855347156524658,0.1700306236743927
P01,8,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,3,0.06358537822961807,0.6855347156524658,0.1700306236743927
P01,8,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,6,0.06358537822961807,0.6855347156524658,0.1700306236743927
P01,9,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,fixed,0.07317664474248886,0.6282134652137756,0.20342886447906494
P01,9,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,1,0.07095509022474289,0.6513688564300537,0.19450446963310242
P01,9,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,3,0.07095509022474289,0.6513688564300537,0.19450446963310242
P01,9,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,6,0.07095509022474289,0.6513688564300537,0.19450446963310242
P01,10,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,fixed,0.14570675790309906,0.4989817440509796,0.27048414945602417
