branch,stage,sha256,scope,region,mode,dx,dy,ncc,mae,ssim,lpips,highpass_mae
P01,7,e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,face,whole_roi,6,-1,-2,0.9679868817329407,0.05739738047122955,0.7098167538642883,0.15942201018333435,
P01,8,35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,face,whole_roi,fixed,0,0,,0.06567317992448807,0.6651027202606201,0.17702649533748627,
P01,8,35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,face,whole_roi,1,-1,-2,0.9473113417625427,0.06358537822961807,0.6855347156524658,0.1700306236743927,
P01,8,35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,face,whole_roi,3,-1,-2,0.9589694738388062,0.06358537822961807,0.6855347156524658,0.1700306236743927,
P01,8,35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,face,whole_roi,6,-1,-2,0.9653831720352173,0.06358537822961807,0.6855347156524658,0.1700306236743927,
P01,9,c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,face,whole_roi,fixed,0,0,,0.07317664474248886,0.6282134652137756,0.20342886447906494,
P01,9,c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,face,whole_roi,1,-1,-2,0.9418168663978577,0.07095509022474289,0.6513688564300537,0.19450446963310242,
P01,9,c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,face,whole_roi,3,-1,-2,0.9545510411262512,0.07095509022474289,0.6513688564300537,0.19450446963310242,
P01,9,c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,face,whole_roi,6,-1,-2,0.9615597724914551,0.07095509022474289,0.6513688564300537,0.19450446963310242,
P01,10,7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,face,whole_roi,fixed,0,0,,0.14570675790309906,0.4989817440509796,0.27048414945602417,
P01,10,7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,face,whole_roi,1,-1,-3,0.7887117266654968,0.14212055504322052,0.5297394394874573,0.2594680190086365,
P01,10,7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,face,whole_roi,3,-2,-3,0.7979957461357117,0.1428041160106659,0.5281270146369934,0.2617783844470978,
P01,10,7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,face,whole_roi,6,-3,-4,0.8031058311462402,0.14613395929336548,0.4931087791919708,0.2680579721927643,
P02,1,6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,face,whole_roi,fixed,0,0,,0.021788310259580612,0.8218111991882324,0.05121392011642456,
P02,1,6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,face,whole_roi,1,0,0,0.9947692155838013,0.021788310259580612,0.8218111991882324,0.05121392011642456,
P02,1,6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,face,whole_roi,3,0,0,0.9983677268028259,0.021788310259580612,0.8218111991882324,0.05121392011642456,
