id,person,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
P06-batch-r1-s1,P06,batch,1,1,SBP,SBP,previous,skin,forehead,6,0.045871324837207794,0.7888345122337341,,0.014290127903223038
P06-batch-r1-s1,P06,batch,1,1,SBP,SBP,previous,skin,cheek_viewer_left,6,0.04722605273127556,0.8458600640296936,,0.015723947435617447
P06-batch-r1-s1,P06,batch,1,1,SBP,SBP,previous,skin,cheek_viewer_right,6,0.0400390625,0.8107836246490479,,0.01454787328839302
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,face,whole_roi,fixed,0.018222685903310776,0.8954640030860901,0.030127864331007004,
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,weighted_three_regions,fixed,0.015645674679700922,0.8449113295502859,,0.012246325339485959
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,forehead,fixed,0.015267157927155495,0.8236929774284363,,0.012546118348836899
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_left,fixed,0.015792228281497955,0.9046415686607361,,0.011788815259933472
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_right,fixed,0.016681985929608345,0.8618935942649841,,0.011766982264816761
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,face,whole_roi,1,0.01930932328104973,0.8783731460571289,0.031633395701646805,
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,weighted_three_regions,1,0.016639765715453683,0.8270705726048718,,0.013411621108832882
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,forehead,1,0.016123365610837936,0.8071489334106445,,0.013603105209767818
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_left,1,0.01723983883857727,0.8905810713768005,,0.013184646144509315
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_right,1,0.017653442919254303,0.8355844616889954,,0.013040208257734776
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,face,whole_roi,3,0.01930932328104973,0.8783731460571289,0.031633395701646805,
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,weighted_three_regions,3,0.016639765715453683,0.8270705726048718,,0.013411621108832882
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,forehead,3,0.016123365610837936,0.8071489334106445,,0.013603105209767818
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_left,3,0.01723983883857727,0.8905810713768005,,0.013184646144509315
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_right,3,0.017653442919254303,0.8355844616889954,,0.013040208257734776
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,face,whole_roi,6,0.01930932328104973,0.8783731460571289,0.031633395701646805,
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,weighted_three_regions,6,0.016639765715453683,0.8270705726048718,,0.013411621108832882
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,forehead,6,0.016123365610837936,0.8071489334106445,,0.013603105209767818
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_left,6,0.01723983883857727,0.8905810713768005,,0.013184646144509315
P06-SBP-r1-s1,P06,SBP,1,1,S,S,original,skin,cheek_viewer_right,6,0.017653442919254303,0.8355844616889954,,0.013040208257734776
P06-SBP-r1-s1,P06,SBP,1,1,S,S,previous,face,whole_roi,fixed,0.018222685903310776,0.8954640030860901,0.030127864331007004,
P06-SBP-r1-s1,P06,SBP,1,1,S,S,previous,skin,weighted_three_regions,fixed,0.015645674679700922,0.8449113295502859,,0.012246325339485959
P06-SBP-r1-s1,P06,SBP,1,1,S,S,previous,skin,forehead,fixed,0.015267157927155495,0.8236929774284363,,0.012546118348836899
P06-SBP-r1-s1,P06,SBP,1,1,S,S,previous,skin,cheek_viewer_left,fixed,0.015792228281497955,0.9046415686607361,,0.011788815259933472
