id,arm,repeat,stage,basis,mode,dx,dy,ncc,mae,ssim,lpips
batch-r1-s1,batch,1,1,original,fixed,0,0,,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,original,1,0,0,0.9646886587142944,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,original,3,0,0,0.9652372002601624,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,original,6,0,0,0.9634466171264648,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,previous,fixed,0,0,,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,previous,1,0,0,0.9646886587142944,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,previous,3,0,0,0.9652372002601624,0.07002362608909607,0.8678012490272522,0.08427665382623672
batch-r1-s1,batch,1,1,previous,6,0,0,0.9634466171264648,0.07002362608909607,0.8678012490272522,0.08427665382623672
sequential-r1-s1,sequential,1,1,original,fixed,0,0,,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,original,1,0,0,0.995844841003418,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,original,3,0,0,0.9973201751708984,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,original,6,0,0,0.997733473777771,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,previous,fixed,0,0,,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,previous,1,0,0,0.995844841003418,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,previous,3,0,0,0.9973201751708984,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s1,sequential,1,1,previous,6,0,0,0.997733473777771,0.02410578913986683,0.900810956954956,0.02233194187283516
sequential-r1-s2,sequential,1,2,original,fixed,0,0,,0.10998419672250748,0.8133568167686462,0.1025770977139473
sequential-r1-s2,sequential,1,2,original,1,0,0,0.8955690860748291,0.10998419672250748,0.8133568167686462,0.1025770977139473
sequential-r1-s2,sequential,1,2,original,3,1,0,0.8974360823631287,0.11191211640834808,0.7867559790611267,0.103145070374012
