id,arm,repeat,stage,mode,region,mae,ssim,highpass_mae
batch-r1-s1,batch,1,1,fixed,weighted_three_regions,0.022363706193864345,0.8337588188599567,0.012728918705354718
batch-r1-s1,batch,1,1,fixed,forehead,0.02260635793209076,0.8044515252113342,0.013647206127643585
batch-r1-s1,batch,1,1,fixed,cheek_viewer_left,0.026438599452376366,0.8850796222686768,0.01173240877687931
batch-r1-s1,batch,1,1,fixed,cheek_viewer_right,0.017067383974790573,0.8709810376167297,0.011155256070196629
batch-r1-s1,batch,1,1,1,weighted_three_regions,0.022363706193864345,0.8337588188599567,0.012728918705354718
batch-r1-s1,batch,1,1,1,forehead,0.02260635793209076,0.8044515252113342,0.013647206127643585
batch-r1-s1,batch,1,1,1,cheek_viewer_left,0.026438599452376366,0.8850796222686768,0.01173240877687931
batch-r1-s1,batch,1,1,1,cheek_viewer_right,0.017067383974790573,0.8709810376167297,0.011155256070196629
batch-r1-s1,batch,1,1,3,weighted_three_regions,0.022363706193864345,0.8337588188599567,0.012728918705354718
batch-r1-s1,batch,1,1,3,forehead,0.02260635793209076,0.8044515252113342,0.013647206127643585
batch-r1-s1,batch,1,1,3,cheek_viewer_left,0.026438599452376366,0.8850796222686768,0.01173240877687931
batch-r1-s1,batch,1,1,3,cheek_viewer_right,0.017067383974790573,0.8709810376167297,0.011155256070196629
batch-r1-s1,batch,1,1,6,weighted_three_regions,0.022363706193864345,0.8337588188599567,0.012728918705354718
batch-r1-s1,batch,1,1,6,forehead,0.02260635793209076,0.8044515252113342,0.013647206127643585
batch-r1-s1,batch,1,1,6,cheek_viewer_left,0.026438599452376366,0.8850796222686768,0.01173240877687931
batch-r1-s1,batch,1,1,6,cheek_viewer_right,0.017067383974790573,0.8709810376167297,0.011155256070196629
sequential-r1-s1,sequential,1,1,fixed,weighted_three_regions,0.022217033406829133,0.8424112891290026,0.012253133949330624
sequential-r1-s1,sequential,1,1,fixed,forehead,0.02193884551525116,0.8205136656761169,0.013058090582489967
sequential-r1-s1,sequential,1,1,fixed,cheek_viewer_left,0.022351903840899467,0.8852704167366028,0.01131220068782568
sequential-r1-s1,sequential,1,1,fixed,cheek_viewer_right,0.022881653159856796,0.8650147318840027,0.010949519462883472
sequential-r1-s1,sequential,1,1,1,weighted_three_regions,0.022217033406829133,0.8424112891290026,0.012253133949330624
sequential-r1-s1,sequential,1,1,1,forehead,0.02193884551525116,0.8205136656761169,0.013058090582489967
sequential-r1-s1,sequential,1,1,1,cheek_viewer_left,0.022351903840899467,0.8852704167366028,0.01131220068782568
sequential-r1-s1,sequential,1,1,1,cheek_viewer_right,0.022881653159856796,0.8650147318840027,0.010949519462883472
sequential-r1-s1,sequential,1,1,3,weighted_three_regions,0.022217033406829133,0.8424112891290026,0.012253133949330624
sequential-r1-s1,sequential,1,1,3,forehead,0.02193884551525116,0.8205136656761169,0.013058090582489967
sequential-r1-s1,sequential,1,1,3,cheek_viewer_left,0.022351903840899467,0.8852704167366028,0.01131220068782568
sequential-r1-s1,sequential,1,1,3,cheek_viewer_right,0.022881653159856796,0.8650147318840027,0.010949519462883472
sequential-r1-s1,sequential,1,1,6,weighted_three_regions,0.022217033406829133,0.8424112891290026,0.012253133949330624
sequential-r1-s1,sequential,1,1,6,forehead,0.02193884551525116,0.8205136656761169,0.013058090582489967
sequential-r1-s1,sequential,1,1,6,cheek_viewer_left,0.022351903840899467,0.8852704167366028,0.01131220068782568
sequential-r1-s1,sequential,1,1,6,cheek_viewer_right,0.022881653159856796,0.8650147318840027,0.010949519462883472
