id,person,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,previous,skin,cheek_viewer_right,3,0.018733404576778412,0.8264203667640686,,0.013501721434295177
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,previous,face,whole_roi,6,0.01858719065785408,0.8722035884857178,0.030579278245568275,
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,previous,skin,weighted_three_regions,6,0.017658516128615635,0.8182319541500039,,0.013838145177720524
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,previous,skin,forehead,6,0.01709640398621559,0.7981975674629211,,0.013840441592037678
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,previous,skin,cheek_viewer_left,6,0.018340228125452995,0.8824755549430847,,0.014167392626404762
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,previous,skin,cheek_viewer_right,6,0.018733404576778412,0.8264203667640686,,0.013501721434295177
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,face,whole_roi,fixed,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,weighted_three_regions,fixed,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,forehead,fixed,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_left,fixed,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_right,fixed,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,face,whole_roi,1,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,weighted_three_regions,1,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,forehead,1,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_left,1,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_right,1,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,face,whole_roi,3,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,weighted_three_regions,3,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,forehead,3,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_left,3,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_right,3,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,face,whole_roi,6,0.01607006974518299,0.8994677662849426,0.02255358174443245,
